Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Industry,Analyst rating,Price to earnings ratio forward,"Price to earnings ratio forward Non-GAAP, Annual"
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",76.88,USD,0.4114151374648961,1814540,0.8588010303870663,4566856731.900999,USD,17.18104006972534,4.4747,USD,29.69017186911284,0,Retail trade,Department stores,Strong buy,16.83465925252624,16.68719646200179
AXTI,AXT Inc,69.56,USD,12.84879948085659,13825156,1.866971017995615,4561272558.243348,USD,3739.78494623656,0.0186,USD,,0,Electronic technology,Electronic production equipment,Strong buy,44.13705583756346,81.26168224299066
CELC,Celcuity Inc.,93.02,USD,-2.800417972831773,941035,1.3428756248028038,4551645904.673563,USD,,-4.2995,USD,-24.72441401717336,0,Health technology,Medical specialties,Strong buy,,
ALK,"Alaska Air Group, Inc.",40.74,USD,-3.092293054234056,2211605,1.0349777318371085,4546711163.262132,USD,,-1.5712,USD,-163.86472644500446,0,Transportation,Airlines,Strong buy,20.086459537173262,
DOO,BRP Inc.,63.17,USD,-6.164587046939976,493733,1.35866046188066,4519040146.060605,USD,59.49768563233179,1.06172197,USD,,0.999355254674403,Producer manufacturing,Trucks/Construction/Farm machinery,Buy,18.84924986430748,21.43887394831796
FULT,Fulton Financial Corporation,23.62,USD,-1.9917012448132796,1429626,1.0666695914489515,4509402120.85809,USD,11.312260536398467,2.088,USD,22.355698798710826,3.11203319502075,Finance,Major banks,Neutral,10.687782805429865,11.286314984709481
CHH,"Choice Hotels International, Inc.",100.01,USD,-0.606241303915722,769370,1.6167355252504472,4501312330.311072,USD,14.116335201208239,7.0847,USD,8.71439970537687,1.14291393361161,Consumer services,Hotels/Resorts/Cruise lines,Neutral,13.796871044573924,14.224629673905948
PAY,"Paymentus Holdings, Inc.",35.65,USD,-1.4921248963802134,757230,0.6128639514545513,4489748233.379387,USD,54.12997266929851,0.6586,USD,50.88201603665521,0,Commercial services,Miscellaneous commercial services,Buy,36.94300518134715,39.537878174536715
ACHR,Archer Aviation Inc.,5.83,USD,2.101576182136604,22595048,1.014640260138571,4489238806.071804,USD,,-1.0815,USD,15.368964707723617,0,Electronic technology,Aerospace & defense,Buy,,
MYRG,"MYR Group, Inc.",288.16,USD,0.5478209288530829,233996,0.7409452723400402,4486435053.354828,USD,27.334471637260485,10.542,USD,120.13406001378186,0,Industrial services,Engineering & construction,Buy,22.423593953660294,23.624513219922118
NNI,"Nelnet, Inc.",125.14,USD,-1.7045008247584648,164792,1.2295295403589535,4477438859.74079,USD,15.24368703787168,8.2093,USD,-7.423654652893667,1.01327468384259,Finance,Finance/Rental/Leasing,Neutral,15.04574801918892,16.679106466919016
KFY,Korn Ferry,82.04,USD,-3.8781487990626697,516908,1.301301029142247,4476008232.306035,USD,15.654994752409122,5.2405,USD,13.482318802919083,2.41359109548916,Commercial services,Personnel services,Buy,14.038332313198548,14.03561837557392
EE,"Excelerate Energy, Inc.",39.3,USD,-1.8236322757931651,517544,1.6210544383672687,4456702603.632276,USD,27.071709030791485,1.4517,USD,37.030394562960176,0.824381713714714,Utilities,Gas distributors,Buy,21.630023132566723,24.458490270126287
CRK,"Comstock Resources, Inc.",15.16,USD,-0.6553079947575338,2042935,0.6196140127725831,4451287983.06422,USD,8.806785174857675,1.7214,USD,,0,Energy minerals,Oil & gas production,Neutral,36.4417820896814,40.019217671810736
LIVN,LivaNova PLC,80.7,USD,-1.4892578124999987,472958,0.7660689124791398,4446046131.694336,USD,23.94516645896386,3.3702,USD,,0,Health technology,Medical specialties,Buy,18.213028792835033,18.528059333871497
CHEF,"The Chefs' Warehouse, Inc.",108.86,USD,-4.8093739069604755,1564268,2.187902468717236,4441061460.32354,USD,51.75922403955876,2.1032,USD,29.81113442784842,0,Distribution services,Food distributors,Strong buy,39.33855149136691,42.84833162703609
GEF.B,"Greif, Inc. Corporation",108.9,USD,0.2577794144724739,61618,0.8679997464378033,4440239589.987111,USD,28.14753547519967,3.8689,USD,42.05617771250229,3.16700423494752,Process industries,Containers/Packaging,Neutral,23.591854419410744,25.257052550672398
